input_bleu,output_bleu
0,0.0485897193164
0,0
0,0
0.032508046875,0.0295840374988
0.031330130863,0.0457467581208
0.0209119135846,0.0382628742363
0,0.0910800595694
0.0377291386734,0
0,0
0.0335154227948,0
0.0713441589161,0.0602077727945
0.0386902830157,0.0336253479373
0,0.0421688758031
0.0485897193164,0.0569592847657
0,0
0,0
0,0
0.0403411017012,0.0446447678735
0.0363345251706,0.0363469462994
0,0.0858376859114
0.0552700318393,0.0375119043708
0.0446169258483,0.033398427777
0,0
0,0
0,0
0.0308401304336,0.0308401304336
0.0643993142946,0.0765841227604
0.0516604545413,0.0506619680993
0.0462136266712,0.0377764186048
0.0309015325873,0.0387637720804
0,0.0302765237416
0,0
0,0.0492642987031
0.015348610281,0
0.02614431569,0.0267321955588
0,0.032355735945
0.0464763716446,0.0528997443646
0.103208937494,0.150116029502
0.0149882719642,0.00986504105499
0.0506619680993,0.0432796971941
0,0
0.00517302684711,0
0.0753583812877,0.0822596469997
0,0
0,0
0,0
0.0492885400738,0
0.046680490231,0
0,0
0.00108496492921,0
0,0.0490608162929
0,0.0726433976618
0,0
0,0
0,0.0978237574896
0,0
0,0.0910352640555
0,0.0417587256542
0.055386962326,0.0681126218178
0.0935149886578,0
0.0403411017012,0.0586976089304
0.0403411017012,0
0,0.0955204080682
0,0
0.0367483224173,0.0517781303479
0,0.0910352640555
0,0
0.0478888045856,0.0590628109504
0,0.0580243555087
0,0
0,0
0,0
0.00118764690183,0.00398369586768
0.00175831905069,0
0,0
0.055386962326,0.0449157556866
0.0315779199245,0.0552428486173
0,0
0.0406687039986,0.0555894774493
0,0
0.0136192654665,0.0136192654665
0.0769237502605,0.108259783731
0.0680939843204,0.0765841227604
0.0585645823328,0.0549575736475
0.046680490231,0.0417587256542
0.0463988553399,0.0422665724019
0.0648433237324,0.0602815170118
0.0469608141174,0.0330823333303
0,0.0463988553399
0,0
0,0.075820960632
0.0660184752206,0.066425890916
0,0
0.056066684112,0.0462136266712
0,0.0851301236088
0.0437247199119,0.0529626865867
0,0
9.3871273924e-05,0
0,0
0,0.0485897193164
0,0.0184895805094
0.0431790002361,0
0.0643993142946,0
0,0
0,0
0.0506619680993,0.218001939561
0,0.0676022988457
0.0822596469997,0.0955204080682
0,0
0.0674336424277,0.0712695567709
0,0.0529190739364
0.0766265825154,0.0823001243158
0.0580966520441,0.0441206878282
0,0
0,0.0697264885306
0.0341347072594,0.0278984377026
0.0544213380785,0.0544213380785
0,0
0,0
0.0516604545413,0.0478968583749
0,0
0.0325963169841,0.0343871962367
0.0612957497933,0.0485897193164
0,0
0.0724636507516,0
0,0.113907780255
0.0485815973405,0.0635321099718
0,0.0822596469997
0.0456459480845,0.0462622365426
0.0668504570048,0.0683338195645
0,0.10649638629
0.013163635477,0
0.038621111026,0.0415917612668
0.0188803505903,0.0213224320372
0.0652296170621,0.0678849713401
0,0.113016012434
0.028766598087,0.0499385108026
0,0.0377764186048
0.0126385978493,0.0118593796874
0,0.0722631758353
0,0
0.0618466746406,0
0,0.0643993142946
0,0
0.0586105575094,0.0659852333463
0,0.0417587256542
0,0.072239433546
0,0
0.0144682044648,0.0122641571068
0,0
0.072239433546,0.0643993142946
0,0.0610855726856
0,0
0.0357601177691,0.0342585940301
0.0884481800872,0.0809197546964
0.0175847531694,0.0166119887331
0.0580966520441,0.049707454728
0.0351109197792,0.0446447678735
0,0
0,0
0,0
0,0
0,0
0.0295840374988,0.0297811693407
0,0.120215776109
0.0439977394753,0.0505227116218
0.0311924436332,0.0278992964038
0.0389193254147,0.056323245371
0.0355185132849,0.0432796971941
0.0449239857842,0.0377764186048
0,0
0.0419616225991,0.051922474642
0,0.0910352640555
0,0
0,0
0.0366126670862,0
0,0.0511055102558
0.0712695567709,0.0610855726856
0.0531682964935,0
0.104896718695,0
0.0258328674675,0.0181705717995
0,0.0461728153018
0.0462136266712,0.0564785727198
0.0506619680993,0.0467000882053
