input_bleu,output_bleu
0.0322435551085,0.0574616639124
0.0758245449491,0.135086256574
0.00486858266765,0.0753583812877
0.0614235084762,0.141139919308
0.0732172428141,0.160365909699
0.0356693383896,0.0629317392446
0.0300747182922,0.141139919308
0.0306602952833,0.178275310428
0.00707701682536,0.139507969679
0.0354717383856,0.149911069467
0.0492981257138,0.103208937494
0.0516934252881,0.103903021742
0.0407217202811,0.0883937432683
0.0196753169144,0.204689180375
0.0351585463815,0.160365909699
0.0255900657624,0.0494095924432
0.0401176977816,0.101131171356
0.0220665798372,0.103208937494
0.0428062297649,0.114063516204
0.0284684379753,0.0955204080682
0.0275358063655,0.0567197077636
0.0647182424509,0.14983220974
0.0393436258386,0.0905297029875
0.0605531764073,0.0847542639951
0.0330643885524,0.0959692838326
0.0539472118877,0.0724636507516
0.0805474499959,0.0883937432683
0.0408051075447,0.0908362786821
0.0446217523759,0.154333358893
0.0696454179973,0.0955204080682
0.04099941199,0.105710708572
0.0519693651338,0.0935149886578
0.0105068743028,0.0851301236088
0.00671478444968,0.0809778506427
0.0768834020954,0.0408898695165
0.0377031426793,0.103903021742
0.00562923058326,0.113907780255
0.0267105425273,0.141139919308
0.00310858966193,0.0315779199245
0.11255192894,0.111478922723
0.0300408059441,0.0851301236088
0.0515321966329,0.0537733638508
0.20556680845,0.211053406319
0.127343532972,0.0108500440342
0.0374063834203,0.126059680922
0.013435306594,0.10043553373
0.0453952563699,0.10043553373
0.00567196384806,0.0680939843204
0.0672029218271,0.113907780255
0.130740917601,0.00872091832483
0.0424181320113,0.0910352640555
0.0173941735714,0.148737437013
0.0185775532018,0.0858376859114
0.0648615578833,0.0769237502605
0.0784729611526,0.103903021742
0.0276509952366,0.107643454327
0.0477873870867,0.113907780255
0.0435374366757,0.0533455900817
0.0582125431347,0.103903021742
0.0484658041837,0.0680939843204
0.0581268524201,0.113411742407
0.0145183340497,0.147091328366
0.0852029347288,0.159249241444
0.0658189834434,0.0972668410053
0.0128647395276,0.126059680922
0.0653487851082,0.0753583812877
0.0321673393654,0.0589953212431
0.0767843270659,0.185750579991
0.0347001992294,0.123006862885
0.0800225951454,0.0883937432683
0.0629720413717,0.113907780255
0.000690740453916,0.0463747649717
0.0564143924198,0.113907780255
0.11177480259,0.121005182765
0.0514849618641,0.0883937432683
0.000141148078025,0.112940122537
0.0697679093751,0.186984352054
0.0333342181657,0.105710708572
0.0358711713891,0.103903021742
0.0325963169841,0.102942351609
2.49874981332e-05,0.0883937432683
0.0988026096079,0.114127355155
0.0108964579612,0.0955204080682
0.000157299760278,0.14983220974
0.123371708206,0.14152241859
0.0415318480766,0.0180556378246
0.0822596469997,0.185750579991
0.0588219617433,0.20556680845
0.020328590761,0.0883937432683
0.0538140946637,0.052063188264
0.0285727709101,0.0302934603173
0.0959613692731,0.0764590614326
0.0202882570466,0.105710708572
0.0284570245153,0.0883937432683
0.0241602499093,0.0812630644214
0.0319820161281,0.0769237502605
0.0094498957983,0.0910800595694
0.0424265778513,0.160365909699
0.0246041830338,0.138216931296
0.0155762039415,0.0883937432683
0.0644746969758,0.143231450794
0.00177855872652,0.0910743836829
0.0397169932709,0.0626849715021
0.0369431567651,0.141139919308
0.00374038680151,0.0378703747828
2.97637346522e-05,0.141139919308
0.0119701595039,0.113016012434
0.0534792259756,0.0463747649717
0.145768461497,0.111208689871
0.0730050704242,0.103903021742
0.000682264303509,0.0978840017329
0.0228211757377,0.113907780255
0.0262595355658,0.124893096052
2.97637346522e-05,0.0822596469997
0.0282054465312,0.0680939843204
0.042166709308,0.108259783731
0.125711926765,0.0357824711136
7.93979877649e-05,0.0955204080682
0.0376097924744,0.0883937432683
0.0594074453189,0.103903021742
0.0815048546352,0.0883937432683
0.0433225895304,0.141139919308
0.0481130171805,0.0955204080682
0.0422388687127,0.0582275300511
0.00111513178965,0.0822596469997
0.111714587103,0.0181322405785
0.0259776257716,0.0906367758264
0.00765602598766,0.108129441644
0.0366597258517,0.173957973756
0.0237178588787,0.113907780255
0.0453322905315,0.0883937432683
0.0152939017965,0.0716468423826
0.0660161823828,0.103208937494
0.0307554707387,0.0884481800872
0.000606982653924,0.0851301236088
0.0777003048929,0.0758044949652
0.0304313793446,0.0681126218178
0.0549575736475,0.123562212726
0.0513487742994,0.105710708572
0.0364710293557,0.103903021742
0.0680939843204,0.0955204080682
0.000330851373373,0.0458923422117
3.58771266696e-05,0.0642145051437
0.142836325787,0.223523390992
0.0916836108455,0.14983220974
0.0164048076543,0.122672237916
0.0448677601534,0.0822596469997
3.45062232417e-05,0.124893096052
0.054939655493,0.107643454327
0.103546167065,0.103903021742
0.0563066573678,0.103903021742
0.0333959506098,0.0909326471926
0.0612027335611,0.0579815378839
0.0483580150053,0.161089927697
0.000103885641631,0.0478968583749
0.109207754341,0.141139919308
0.0730526724329,0.141139919308
0.0421211090216,0.0648673667275
0.0424779176948,0.155131710175
0.064707679209,0.141139919308
